Class,Code,Test_Count,Precision,Recall,F1,ROC_AUC
Actinic keratoses,akiec,49,0.6756756756756757,0.5102040816326531,0.5813953488372093,0.9626224630154676
Basal cell carcinoma,bcc,77,0.5697674418604651,0.6363636363636364,0.6012269938650306,0.9610753902479007
Benign keratosis,bkl,165,0.40476190476190477,0.7212121212121212,0.5185185185185185,0.8984554060787244
Dermatofibroma,df,17,0.24390243902439024,0.5882352941176471,0.3448275862068966,0.9102604702715541
Melanoma,mel,167,0.26881720430107525,0.5988023952095808,0.37105751391465674,0.8244872530388325
Melanocytic nevi,nv,1006,0.9762282091917591,0.6123260437375746,0.7525962125839951,0.9388657991687701
Vascular lesions,vasc,22,0.4523809523809524,0.8636363636363636,0.59375,0.9753851820023326
